group,trial_id,csv_file,csv_row_idx,csv_delim,A,n,r,c,s,Z_obj,occ_infront,occ_ring,mask_extra,cam_x,cam_y,cam_z,candidates_size,ee_x,ee_y,ee_z,exec_ok,ik_fail_count,ik_success_count,planning_ok,planning_time_sec,reps_size,score,sel_best_mode_dq_exec,sel_best_mode_m_exec,sel_best_mode_m_limit,sel_best_mode_m_sing,sel_best_mode_score,selected_dq_exec,selected_idx_in_candidates,selected_psc,stamp,traj_points,trial_tag,use_comp,used_mode0_members
L1+L2,42,nbv_executor_action_mode_1772331830_545995.csv,0,COMMA,41,3989.7,1.00,1.000,0.407,0.719,0.356,0.102,0.463,-0.18129600584506989,-0.20076113939285278,0.3576842248439789,1,-0.19109916799733437,-0.19556378412717002,0.5742714638870696,1,0,1,1,1.481482744216919,12,3.541164460582877,nan,nan,nan,nan,nan,3.5411614279511685,0,nan,1772331836.1047068,44,action_mode,0,0
L1+L2,43,nbv_executor_action_mode_1772331967_556461.csv,0,COMMA,31,3988.7,1.00,1.000,0.403,0.717,0.356,0.104,0.463,nan,nan,nan,2,nan,nan,nan,0,2,0,0,nan,9,nan,4.828109264,1,1,1,3.060052395,nan,-1,nan,1772331969,0,action_mode,1,1
L1+L2,44,nbv_executor_action_mode_1772332100_566617.csv,0,COMMA,24,3980.5,1.00,1.000,0.401,0.717,0.356,0.103,0.462,-0.230987086892128,-0.23309315741062164,0.39110490679740906,8,-0.1918673349211376,-0.2372692749105577,0.6043778578592003,1,1,7,1,1.7893180847167969,11,2.996928180790275,4.832343578338623,0.6733828186988831,0.8873546719551086,0.6733828186988831,1.473382830619812,3.2173563849298135,5,0.5510835647583008,1772332104.497192,49,action_mode,1,1
L1+L2,45,nbv_executor_action_mode_1772332265_580557.csv,0,COMMA,24,5202.0,1.00,1.000,0.351,0.675,0.297,0.082,0.475,nan,nan,nan,4,nan,nan,nan,0,4,0,0,nan,14,nan,4.577224255,1,1,1,3.179351568,nan,-1,nan,1772332273,0,action_mode,0,1
L1+L2,46,nbv_executor_action_mode_1772332471_594681.csv,0,COMMA,34,3521.0,1.00,1.000,0.406,0.613,0.389,0.086,0.369,-0.107180863618851,-0.277986109256744,0.352773666381836,2,-0.019258662774198,-0.291865201104099,0.550536665990902,1,1,1,1,9.4539954662323,11,7.11510959083847,4.59799575805664,0.685077786445618,0.685077786445618,1,1.8411990404129,7.34056413585953,1,0.563636362552643,1772332475.69804,80,action_mode,1,1
L1+L2,47,nbv_executor_action_mode_1772333066_673820.csv,0,COMMA,21,4103.9,1.00,1.000,0.635,0.838,0.360,0.004,0.144,-0.21113811433315277,-0.05147271603345871,0.31672927737236023,2,-0.19514138490862437,-0.1188433088798433,0.522249238625508,1,0,2,1,1.0549845695495605,8,2.442126934886226,4.211816310882568,0.528190016746521,0.528190016746521,1.0,2.866290807723999,2.692283536517926,0,0.6253968477249146,1772333078.5641081,37,action_mode,1,1
L1+L2,48,nbv_executor_action_mode_1772333180_683264.csv,0,COMMA,24,4105.8,1.00,1.000,0.634,0.838,0.360,0.005,0.146,-0.36368611454963684,-0.09618619829416275,0.45975545048713684,2,-0.23675903143126578,-0.1957580402875181,0.6046971989910191,1,0,2,1,1.003279447555542,6,3.1335103460296403,5.706955432891846,0.9696335196495056,0.9696335196495056,1.0,2.3807427883148193,3.3647000824013396,1,0.5779816508293152,1772333192.2958562,38,action_mode,1,1
L1+L2,49,nbv_executor_action_mode_1772333318_695486.csv,0,COMMA,31,4100.9,1.00,1.000,0.635,0.836,0.360,0.004,0.141,-0.2970166504383087,0.0058334446512162685,0.4602789282798767,25,-0.2194733605349603,-0.1423683069491528,0.5983239413002605,1,0,25,1,1.1388440132141113,5,1.837895087810859,3.782140016555786,0.4284537732601166,0.4284537732601166,1.0,2.547589063644409,2.0889478795154095,20,0.6276276111602783,1772333329.7637312,28,action_mode,1,1
L1+L2,50,nbv_executor_action_mode_1772333546_714826.csv,0,COMMA,67,5003.9,1.00,1.000,0.632,0.842,0.327,0.004,0.285,-0.29831022024154663,0.023686064407229424,0.39362698793411255,4,-0.24632132706839824,-0.09550421758234992,0.5671895941375391,1,2,2,1,1.1179430484771729,2,-0.24319999217987062,3.9999046325683594,0.054601460695266724,0.054601460695266724,1.0,2.3700942993164062,2.0635205043811085,2,0.6079999804496765,1772333547.878878,29,action_mode,1,1
L1+L2,51,nbv_executor_action_mode_1772333647_724704.csv,0,COMMA,25,4932.4,1.00,1.000,0.628,0.836,0.327,0.003,0.288,-0.315131604671478,0.024464387446642,0.414855360984802,8,-0.250916781435057,-0.102896305238714,0.578222606911493,1,0,8,1,0.985364198684692,1,2.00719436818941,3.67744660377502,0.192952126264572,0.192952126264572,1,1.59295213222504,2.00719706914333,5,nan,1772333673.42349,27,action_mode,0,1
L1+L2,52,nbv_executor_action_mode_1772333947_749400.csv,0,COMMA,24,7978.2,1.00,1.000,0.678,0.864,0.264,0.000,0.082,-0.10237390547990799,0.03061675652861595,0.3139694631099701,3,-0.11771804111836415,-0.01700110437429317,0.5249913658376018,1,0,3,1,0.9499342441558838,5,-0.228228235244751,4.654581546783447,0.37286707758903503,0.37286707758903503,1.0,2.640481472015381,2.7137202278162063,0,0.5705705881118774,1772333948.77525,35,action_mode,1,1
L1+L2,53,nbv_executor_action_mode_1772334050_758933.csv,0,COMMA,41,8367.5,1.00,1.000,0.697,0.880,0.264,0.002,0.049,-0.12061158567667007,0.08971850574016571,0.34606921672821045,1,-0.13701194070502573,-0.010664688835865882,0.5376087406074993,1,0,1,1,1.2345666885375977,4,2.6511295972284312,5.395726680755615,0.942742645740509,0.942742645740509,1.0,2.014235734939575,2.6511292499404875,0,nan,1772334062.018419,33,action_mode,0,0
L1+L2,54,nbv_executor_action_mode_1772334238_775415.csv,0,COMMA,39,8311.2,1.00,1.000,0.696,0.879,0.264,0.001,0.047,-0.2127663493156433,-0.012191561982035637,0.32068341970443726,5,-0.2045713561213434,-0.05207214117691367,0.533698743321957,1,0,5,1,1.2832214832305908,4,-0.21213719844818116,5.931142807006836,0.933704674243927,0.933704674243927,1.0,2.7337045669555664,6.291318726580868,0,0.5303429961204529,1772334239.70668,56,action_mode,1,1
L1+L2,55,nbv_executor_action_mode_1772334562_800119.csv,0,COMMA,38,6556.3,1.00,1.000,0.690,0.867,0.291,0.007,0.054,-0.0991756021976471,0.03165193274617195,0.34703192114830017,4,-0.1276322970394217,-0.047544920520190936,0.5469099378425788,1,0,4,1,0.9501848220825195,6,2.410195875042274,6.42521333694458,0.4515967071056366,0.4515967071056366,1.0,1.851596713066101,2.6186155292561115,0,0.5210526585578918,1772334567.186119,34,action_mode,1,1
L1+L2,56,nbv_executor_action_mode_1772334611_804428.csv,0,COMMA,32,6547.3,1.00,1.000,0.690,0.867,0.292,0.007,0.056,-0.215658500790596,0.08915670961141586,0.4010254442691803,8,-0.19819933447240712,-0.03585350715763508,0.5773795477685852,1,0,8,1,1.2168524265289307,5,2.0173158112744565,5.038473129272461,0.7918944954872131,0.7918944954872131,1.0,2.8867568969726562,2.017310353234263,2,nan,1772334614.920278,29,action_mode,0,1
L1+L2,57,nbv_executor_action_mode_1772334721_812911.csv,0,COMMA,43,6591.7,1.00,1.000,0.688,0.866,0.289,0.004,0.048,-0.13552351295948029,0.07648280262947083,0.3807929456233978,3,-0.15365463635222745,-0.03488193445387269,0.566001758332526,1,0,3,1,5.181409120559692,6,7.898081785015056,nan,nan,nan,nan,nan,8.108320013196,0,0.5256064534187317,1772334725.531515,123,action_mode,1,1
L1+L2,58,nbv_executor_action_mode_1772334977_840813.csv,0,COMMA,34,6170.7,1.00,1.000,0.638,0.867,0.315,0.043,0.327,-0.1416579633951187,-0.026403916999697685,0.3124109208583832,2,-0.1470326125016225,-0.07309256941758616,0.5241287271209498,1,0,2,1,1.0418567657470703,5,2.374499980256694,6.702571392059326,1.0,1.0,1.0,2.420618772506714,2.6149065338006663,0,0.6010230183601379,1772334988.2134817,34,action_mode,1,1
L1+L2,59,nbv_executor_action_mode_1772335090_851774.csv,0,COMMA,26,6208.5,1.00,1.000,0.769,0.938,0.315,0.041,0.275,-0.2977195680141449,-0.002423018217086792,0.39178627729415894,20,-0.23508156433245753,-0.09798306825302083,0.5761172403420226,1,0,20,1,1.142198085784912,5,1.9617730908405875,3.8027772903442383,0.1961219757795334,0.1961219757795334,1.0,2.2536754608154297,2.195021867153072,13,0.5831202268600464,1772335099.1193645,30,action_mode,1,1
L1+L2,60,nbv_executor_action_mode_1772335232_865628.csv,0,COMMA,28,6228.4,1.00,1.000,0.775,0.944,0.315,0.041,0.269,-0.18960368633270264,0.003638472408056259,0.3369027376174927,3,-0.18092683189080278,-0.06812946983947808,0.5413708800475512,1,0,3,1,1.0231940746307373,6,2.2942470047571235,4.294022083282471,0.34530240297317505,0.34530240297317505,1.0,2.479214668273926,2.5777020307811607,2,0.7086419463157654,1772335243.2835503,34,action_mode,1,1
